Tempo (s),Amostra,PWM,Temperatura (°C)
327.64,266,58,40.91
328.84,267,58,40.91
330.06,268,62,39.44
331.29,269,59,40.42
332.49,270,59,40.42
333.72,271,59,40.42
334.93,272,59,40.42
336.15,273,58,40.91
337.36,274,57,40.91
338.55,275,59,40.42
339.88,276,59,40.42
341.11,277,59,40.42
342.31,278,59,40.42
343.51,279,61,39.44
344.74,280,59,40.42
345.97,281,59,40.42
347.20,282,59,40.42
348.51,283,59,40.42
349.73,284,59,40.42
350.97,285,59,40.42
352.21,286,57,40.91
353.44,287,57,40.91
354.65,288,58,40.42
355.87,289,58,40.42
357.11,290,56,41.40
358.33,291,57,40.91
359.53,292,58,40.42
360.77,293,60,39.93
361.98,294,57,40.91
363.21,295,56,41.40
364.44,296,57,40.91
365.66,297,61,39.44
366.87,298,54,41.89
368.09,299,57,40.91
369.33,300,57,40.91
370.62,301,54,41.89
371.92,302,58,40.42
373.15,303,55,41.40
374.39,304,56,40.91
375.67,305,59,39.93
376.89,306,54,41.89
378.19,307,54,41.89
379.41,308,56,40.91
380.66,309,56,40.91
381.88,310,59,39.93
383.11,311,56,40.91
384.35,312,57,40.42
385.57,313,55,41.40
386.82,314,57,40.42
388.06,315,56,40.91
389.30,316,56,40.91
390.51,317,55,41.40
391.73,318,56,40.91
392.96,319,53,41.89
394.17,320,56,40.91
395.40,321,57,40.42
396.58,322,57,40.42
397.78,323,56,40.91
398.96,324,56,40.91
400.12,325,54,41.40
401.29,326,54,41.40
402.46,327,57,40.42
403.62,328,55,40.91
404.79,329,57,40.42
405.96,330,55,40.91
407.17,331,55,40.91
408.36,332,55,40.91
409.56,333,55,40.91
410.74,334,55,40.91
411.91,335,55,40.91
413.06,336,55,40.91
414.29,337,52,41.89
415.44,338,54,41.40
416.62,339,55,40.91
417.79,340,53,41.40
418.98,341,53,41.40
420.17,342,53,41.40
421.33,343,55,40.91
422.50,344,53,41.40
423.66,345,56,40.42
424.84,346,56,40.42
425.99,347,56,40.42
427.16,348,54,40.91
428.32,349,54,40.91
429.47,350,52,41.89
430.63,351,51,41.89
431.79,352,54,40.91
432.95,353,53,41.40
434.13,354,54,40.91
435.30,355,51,41.89
436.49,356,51,41.89
437.69,357,52,41.40
438.85,358,52,41.40
440.02,359,54,40.91
441.17,360,51,41.89
442.34,361,51,41.89
443.51,362,52,41.40
444.71,363,52,41.40
445.92,364,51,41.89
447.09,365,50,41.89
448.26,366,53,40.91
449.43,367,50,41.89
450.59,368,52,41.40
451.75,369,49,42.38
452.93,370,49,42.38
454.07,371,50,41.89
455.23,372,51,41.40
456.37,373,51,41.40
457.54,374,51,41.40
458.69,375,50,41.89
459.84,376,50,41.89
461.00,377,51,41.40
462.15,378,51,41.40
463.32,379,48,42.38
464.49,380,49,41.89
465.64,381,50,41.40
466.80,382,50,41.40
467.95,383,49,41.89
469.11,384,50,41.40
470.26,385,47,42.38
471.42,386,49,41.89
472.58,387,50,41.40
473.73,388,48,41.89
474.88,389,50,41.40
476.03,390,50,41.40
477.19,391,50,41.40
478.35,392,50,41.40
479.51,393,48,41.89
480.69,394,47,42.38
481.85,395,48,41.89
483.00,396,49,41.40
484.17,397,49,41.40
485.34,398,49,41.40
486.50,399,48,41.89
487.65,400,49,41.40
488.80,401,46,42.38
489.96,402,47,41.89
491.11,403,47,41.89
492.28,404,50,40.91
493.45,405,47,41.89
494.62,406,47,41.89
495.77,407,47,41.89
496.92,408,47,41.89
498.07,409,47,41.89
499.24,410,48,41.40
500.41,411,45,42.38
501.56,412,48,41.40
502.73,413,46,41.89
503.92,414,49,40.91
505.11,415,48,41.40
506.27,416,47,41.40
507.50,417,46,41.89
508.73,418,47,41.40
509.95,419,46,41.89
511.17,420,47,41.40
512.37,421,46,41.89
513.55,422,44,42.38
514.74,423,47,41.40
515.97,424,47,41.40
517.16,425,47,41.40
518.36,426,45,41.89
519.55,427,45,41.89
520.76,428,46,41.40
521.99,429,44,42.38
523.19,430,44,42.38
524.42,431,46,41.40
525.66,432,46,41.40
526.86,433,46,41.40
528.09,434,46,41.40
529.30,435,47,40.91
530.51,436,46,41.40
531.71,437,46,41.40
532.90,438,47,40.91
534.13,439,46,41.40
535.34,440,44,41.89
536.56,441,44,41.89
537.79,442,45,41.40
539.00,443,47,40.91
540.22,444,45,41.40
541.49,445,44,41.89
542.78,446,45,41.40
543.99,447,45,41.40
545.22,448,44,41.89
546.44,449,45,41.40
547.66,450,45,41.40
548.89,451,43,41.89
550.12,452,43,41.89
551.35,453,45,41.40
552.57,454,46,40.91
553.82,455,46,40.91
555.02,456,44,41.40
556.24,457,43,41.89
557.48,458,44,41.40
558.71,459,45,40.91
559.92,460,44,41.40
561.17,461,43,41.89
562.39,462,43,41.89
563.59,463,42,41.89
564.81,464,42,41.89
566.08,465,45,40.91
567.31,466,45,40.91
568.55,467,42,41.89
569.76,468,45,40.91
570.97,469,45,40.91
572.17,470,46,40.42
573.40,471,45,40.91
574.65,472,43,41.40
575.86,473,42,41.89
577.07,474,43,41.40
578.35,475,43,41.40
579.58,476,43,41.40
580.77,477,42,41.89
581.98,478,44,40.91
583.20,479,43,41.40
584.44,480,43,41.40
585.65,481,43,41.40
586.87,482,40,42.38
588.10,483,42,41.40
589.30,484,44,40.91
590.51,485,42,41.40
591.79,486,42,41.40
593.02,487,42,41.40
594.23,488,41,41.89
595.43,489,43,40.91
596.65,490,42,41.40
597.86,491,42,41.40
599.08,492,41,41.89
600.28,493,40,41.89
601.47,494,40,41.89
602.69,495,42,41.40
603.88,496,43,40.91
605.07,497,41,41.40
606.30,498,41,41.40
607.50,499,43,40.91
608.73,500,40,41.89
609.94,501,41,41.40
611.14,502,42,40.91
612.34,503,42,40.91
613.56,504,41,41.40
614.76,505,42,40.91
615.97,506,40,41.89
617.17,507,42,40.91
618.41,508,41,41.40
619.61,509,41,41.40
620.81,510,41,41.40
622.02,511,41,41.40
623.22,512,39,41.89
624.40,513,39,41.89
625.59,514,42,40.91
626.78,515,40,41.40
628.00,516,40,41.40
629.20,517,40,41.40
630.41,518,43,40.42
631.60,519,41,40.91
632.84,520,43,40.42
634.06,521,41,40.91
635.28,522,43,40.42
636.49,523,41,40.91
637.71,524,43,40.42
638.94,525,40,41.40
640.15,526,41,40.91
641.35,527,41,40.91
642.55,528,38,41.89
643.76,529,38,41.89
644.96,530,39,41.40
646.19,531,41,40.91
647.43,532,41,40.91
648.65,533,38,41.89
649.89,534,38,41.89
651.13,535,40,40.91
652.35,536,42,40.42
653.57,537,42,40.42
654.80,538,39,41.40
656.00,539,39,41.40
657.21,540,39,41.40
658.42,541,39,41.40
659.62,542,39,41.40
660.83,543,41,40.42
662.05,544,40,40.91
663.26,545,40,40.91
664.46,546,39,41.40
665.68,547,39,41.40
666.89,548,40,40.91
668.09,549,37,41.89
669.31,550,40,40.91
670.51,551,40,40.91
671.71,552,41,40.42
672.94,553,41,40.42
674.17,554,38,41.40
675.38,555,41,40.42
676.61,556,42,39.93
677.81,557,41,40.42
679.02,558,38,41.40
680.23,559,39,40.91
681.45,560,39,40.91
682.67,561,38,41.40
683.86,562,41,40.42
685.12,563,38,41.40
686.37,564,39,40.91
687.57,565,39,40.91
688.77,566,39,40.91
689.98,567,38,41.40
691.21,568,39,40.91
692.44,569,40,40.42
693.64,570,39,40.91
694.87,571,40,40.42
696.05,572,40,40.42
697.31,573,37,41.40
698.51,574,39,40.91
699.76,575,40,40.42
700.96,576,40,40.42
702.16,577,41,39.93
703.38,578,39,40.91
704.57,579,40,40.42
705.83,580,40,40.42
707.06,581,40,40.42
708.33,582,40,40.42
709.56,583,40,40.42
710.76,584,37,41.40
712.00,585,40,40.42
713.21,586,38,40.91
714.41,587,40,40.42
715.63,588,38,40.91
716.83,589,40,40.42
718.05,590,40,40.42
719.28,591,42,39.44
720.49,592,42,39.44
721.69,593,38,40.91
722.92,594,41,39.93
724.14,595,40,40.42
725.37,596,38,40.91
726.58,597,39,40.42
